row_id,deal_id,customer_name,customer_email,region,department,product,sales_rep,Q3 Rev (final)(USE THIS),net_revenue,customer_count,recorded_at,recorded_at_utc,notes
26,D-2026Q3-01026,Customer 026 Inc.,contact026@acme.example,LATAM,Marketing,Worm Enterprise,Chloé O'Brien,45047.72,42314.42,180,2026-08-27 17:41:00,2026-08-27T17:41:00Z,renewal
27,D-2026Q3-01027,Customer 027 Inc.,contact027@globex.example,APAC,Product,Worm Core,Chloé O'Brien,230418.54,193178.38,150,2026-09-22 08:59:00,2026-09-22T08:59:00Z,—
28,D-2026Q3-01028,Customer 028 Inc.,contact028@umbrella.example,NA,Customer Success,Worm Lite,Jürgen Müller,131587.67,124525.92,136,2026-08-13 03:44:00,2026-08-13T03:44:00Z,renewal
29,D-2026Q3-01029,Customer 029 Inc.,contact029@initech.example,EMEA,Marketing,Worm Audit,Sofía Martínez,290740.26,248234.8,128,2026-09-05 22:40:00,2026-09-05T22:40:00Z,churn risk
30,D-2026Q3-01030,Customer 030 Inc.,contact030@initech.example,EMEA,Sales,Worm Core,François Dubois,334291.14,308499.94,122,2026-08-12 21:53:00,2026-08-12T21:53:00Z,pilot — eval phase
31,D-2026Q3-01031,Customer 031 Inc.,contact031@stark.example,NA,Finance,Worm Enterprise,Mario Rossi,189446.91,173884.62,191,2026-09-08 03:41:00,2026-09-08T03:41:00Z,renewal
32,D-2026Q3-01032,Customer 032 Inc.,contact032@acme.example,NA,Product,Worm Pro,François Dubois,275124.58,240936.84,87,2026-08-11 22:36:00,2026-08-11T22:36:00Z,réquête en cours
33,D-2026Q3-01033,Customer 033 Inc.,contact033@stark.example,LATAM,Sales,Worm Core,André Chen,264916.43,212314.21,64,2026-09-19 04:59:00,2026-09-19T04:59:00Z,renewal
34,D-2026Q3-01034,Customer 034 Inc.,contact034@globex.example,LATAM,Sales,Worm Core,Fátima Hassan,252799.68,210620.52,47,2026-07-26 06:40:00,2026-07-26T06:40:00Z,—
35,D-2026Q3-01035,Customer 035 Inc.,contact035@stark.example,APAC,Finance,Worm Enterprise,Renée García,142311.49,116691.63,133,2026-08-14 06:41:00,2026-08-14T06:41:00Z,churn risk
36,D-2026Q3-01036,Customer 036 Inc.,contact036@initech.example,NA,Marketing,Worm Lite,André Chen,59255.26,53520.22,84,2026-08-23 05:50:00,2026-08-23T05:50:00Z,renewal
37,D-2026Q3-01037,Customer 037 Inc.,contact037@acme.example,NA,Product,Worm Lite,Jürgen Müller,167428.54,144892.8,202,2026-08-20 06:24:00,2026-08-20T06:24:00Z,expansion — multi-year
38,D-2026Q3-01038,Customer 038 Inc.,contact038@umbrella.example,LATAM,Customer Success,Worm Enterprise,Mario Rossi,#REF!,#N/A,8,2026-09-15 04:38:00,2026-09-15T04:38:00Z,pilot — eval phase
39,D-2026Q3-01039,Customer 039 Inc.,contact039@acme.example,LATAM,Sales,Worm Pro,Chloé O'Brien,460881.79,362901.15,120,2026-09-19 22:30:00,2026-09-19T22:30:00Z,—
40,D-2026Q3-01040,Customer 040 Inc.,contact040@stark.example,NA,Customer Success,Worm Core,José Álvarez,129380.74,104517.59,177,2026-07-16 19:04:00,2026-07-16T19:04:00Z,expansion — multi-year
41,D-2026Q3-01041,Customer 041 Inc.,contact041@acme.example,EMEA,Customer Success,Worm Pro,José Álvarez,356181.87,321533.41,74,2026-08-28 05:56:00,2026-08-28T05:56:00Z,renewal
42,D-2026Q3-01042,Customer 042 Inc.,contact042@stark.example,EMEA,Product,Worm Pro,Mario Rossi,426646.06,#N/A,36,2026-08-19 22:50:00,2026-08-19T22:50:00Z,churn risk
43,D-2026Q3-01043,Customer 043 Inc.,contact043@initech.example,APAC,Marketing,Worm Core,Chloé O'Brien,41210.86,35608.1,116,2026-09-19 09:19:00,2026-09-19T09:19:00Z,renewal
44,D-2026Q3-01044,Customer 044 Inc.,contact044@globex.example,EMEA,Customer Success,Worm Enterprise,José Álvarez,462287.63,381641.61,4,2026-08-10 16:04:00,2026-08-10T16:04:00Z,upsell
45,D-2026Q3-01045,Customer 045 Inc.,contact045@globex.example,LATAM,Marketing,Worm Pro,Jürgen Müller,386804.07,345669.52,35,2026-08-29 17:53:00,2026-08-29T17:53:00Z,—
46,D-2026Q3-01046,Customer 046 Inc.,contact046@globex.example,NA,Customer Success,Worm Pro,Renée García,231945.42,181303.59,201,2026-08-20 21:52:00,2026-08-20T21:52:00Z,new logo
47,D-2026Q3-01047,Customer 047 Inc.,contact047@globex.example,EMEA,Customer Success,Worm Core,Fátima Hassan,312047.71,270121.42,-9999,2026-09-04 07:16:00,2026-09-04T07:16:00Z,pilot — eval phase
48,D-2026Q3-01048,Customer 048 Inc.,contact048@globex.example,EMEA,Sales,Worm Pro,André Chen,462482.68,386968.71,87,2026-09-10 01:29:00,2026-09-10T01:29:00Z,—
49,D-2026Q3-01049,Customer 049 Inc.,contact049@acme.example,NA,Marketing,Worm Enterprise,Mario Rossi,270970.4,246977.46,26,2026-08-30 21:26:00,2026-08-30T21:26:00Z,pilot — eval phase
50,D-2026Q3-01050,Customer 050 Inc.,contact050@initech.example,NA,Finance,Worm Core,Élise Dupont,478465.29,440472.31,226,2026-08-04 00:21:00,2026-08-04T00:21:00Z,churn risk
51,D-2026Q3-01051,Customer 051 Inc.,contact051@umbrella.example,APAC,Product,Worm Pro,Mario Rossi,213627.15,185469.32,216,2026-08-02 12:06:00,2026-08-02T12:06:00Z,renewal
52,D-2026Q3-01052,Customer 052 Inc.,contact052@initech.example,LATAM,Finance,Worm Lite,André Chen,454418.4,403215.64,86,2026-08-17 18:28:00,2026-08-17T18:28:00Z,expansion — multi-year
53,D-2026Q3-01053,Customer 053 Inc.,contact053@acme.example,APAC,Marketing,Worm Lite,Chloé O'Brien,161435.41,146454.11,155,2026-07-29 17:15:00,2026-07-29T17:15:00Z,churn risk
54,D-2026Q3-01054,Customer 054 Inc.,contact054@initech.example,LATAM,Sales,Worm Pro,Fátima Hassan,75769.43,#REF!,108,2026-08-29 21:16:00,2026-08-29T21:16:00Z,réquête en cours
55,D-2026Q3-01055,Customer 055 Inc.,contact055@umbrella.example,LATAM,Marketing,Worm Audit,Mario Rossi,84470.06,77940.5,212,2026-09-23 00:00:00,2026-09-23T00:00:00Z,renewal
56,D-2026Q3-01056,Customer 056 Inc.,contact056@globex.example,EMEA,Product,Worm Lite,Jürgen Müller,352629.55,317678.03,11,2026-09-18 14:32:00,2026-09-18T14:32:00Z,new logo
57,D-2026Q3-01057,Customer 057 Inc.,contact057@globex.example,NA,Sales,Worm Audit,José Álvarez,457772.76,416328.83,35,2026-09-24 12:10:00,2026-09-24T12:10:00Z,pilot — eval phase
58,D-2026Q3-01058,Customer 058 Inc.,contact058@initech.example,EMEA,Marketing,Worm Lite,Sofía Martínez,16166.46,12854.65,195,2026-07-11 13:01:00,2026-07-11T13:01:00Z,renewal
59,D-2026Q3-01059,Customer 059 Inc.,contact059@globex.example,APAC,Customer Success,Worm Pro,Sofía Martínez,444376.56,404029.14,208,2026-08-02 21:54:00,2026-08-02T21:54:00Z,renewal
60,D-2026Q3-01060,Customer 060 Inc.,contact060@umbrella.example,APAC,Sales,Worm Audit,André Chen,420349.96,396638.06,88,2026-09-25 08:37:00,2026-09-25T08:37:00Z,pilot — eval phase
61,D-2026Q3-01061,Customer 061 Inc.,contact061@acme.example,NA,Finance,Worm Lite,Renée García,162073.02,140695.6,52,2026-09-17 01:47:00,2026-09-17T01:47:00Z,renewal
62,D-2026Q3-01062,Customer 062 Inc.,contact062@acme.example,APAC,Sales,Worm Audit,Jürgen Müller,184206.53,156329.23,107,2026-08-31 04:12:00,2026-08-31T04:12:00Z,pilot — eval phase
63,D-2026Q3-01063,Customer 063 Inc.,contact063@initech.example,LATAM,Marketing,Worm Core,François Dubois,312590.68,259995.49,83,2026-08-09 02:56:00,2026-08-09T02:56:00Z,—
64,D-2026Q3-01064,Customer 064 Inc.,contact064@stark.example,EMEA,Product,Worm Lite,José Álvarez,170910.88,144326.7,96,2026-07-04 04:08:00,2026-07-04T04:08:00Z,réquête en cours
65,D-2026Q3-01065,Customer 065 Inc.,contact065@globex.example,LATAM,Product,Worm Enterprise,André Chen,210996.07,178684.05,126,2026-08-30 22:30:00,2026-08-30T22:30:00Z,new logo
66,D-2026Q3-01066,Customer 066 Inc.,contact066@acme.example,NA,Customer Success,Worm Lite,Fátima Hassan,464344.2,439129.56,117,2026-09-20 09:56:00,2026-09-20T09:56:00Z,—
67,D-2026Q3-01067,Customer 067 Inc.,contact067@initech.example,EMEA,Product,Worm Audit,Mario Rossi,180320.67,145525.23,79,2026-08-18 10:03:00,2026-08-18T10:03:00Z,new logo
68,D-2026Q3-01068,Customer 068 Inc.,contact068@acme.example,NA,Sales,Worm Pro,Mario Rossi,37206.04,30342.52,33,2026-09-07 21:12:00,2026-09-07T21:12:00Z,upsell
69,D-2026Q3-01069,Customer 069 Inc.,contact069@initech.example,APAC,Customer Success,Worm Core,Fátima Hassan,149765.84,123507.78,181,2026-09-12 15:44:00,2026-09-12T15:44:00Z,expansion — multi-year
70,D-2026Q3-01070,Customer 070 Inc.,contact070@acme.example,APAC,Sales,Worm Enterprise,José Álvarez,111991.32,92942.28,-9999,2026-07-18 21:45:00,2026-07-18T21:45:00Z,pilot — eval phase
71,D-2026Q3-01071,Customer 071 Inc.,contact071@umbrella.example,NA,Marketing,Worm Enterprise,Chloé O'Brien,445835.78,360751.93,28,2026-08-29 00:21:00,2026-08-29T00:21:00Z,—
72,D-2026Q3-01072,Customer 072 Inc.,contact072@acme.example,EMEA,Marketing,Worm Audit,Mario Rossi,304522.01,253631.3,209,2026-07-02 08:38:00,2026-07-02T08:38:00Z,expansion — multi-year
73,D-2026Q3-01073,Customer 073 Inc.,contact073@initech.example,LATAM,Customer Success,Worm Audit,Mario Rossi,335445.62,286511.91,57,2026-09-23 07:44:00,2026-09-23T07:44:00Z,renewal
74,D-2026Q3-01074,Customer 074 Inc.,contact074@stark.example,EMEA,Marketing,Worm Audit,François Dubois,372999.62,322546.05,170,2026-09-13 20:09:00,2026-09-13T20:09:00Z,new logo
75,D-2026Q3-01075,Customer 075 Inc.,contact075@stark.example,EMEA,Product,Worm Pro,Renée García,#REF!,#N/A,97,2026-08-02 17:39:00,2026-08-02T17:39:00Z,upsell
76,D-2026Q3-01076,Customer 076 Inc.,contact076@umbrella.example,NA,Marketing,Worm Audit,André Chen,122097.42,112582.65,118,2026-08-22 01:49:00,2026-08-22T01:49:00Z,—
77,D-2026Q3-01077,Customer 077 Inc.,contact077@initech.example,APAC,Sales,Worm Audit,Mario Rossi,280698.84,229670.41,59,2026-09-10 02:48:00,2026-09-10T02:48:00Z,—
78,D-2026Q3-01078,Customer 078 Inc.,contact078@stark.example,EMEA,Customer Success,Worm Audit,André Chen,469245.83,388161.08,73,2026-07-16 23:52:00,2026-07-16T23:52:00Z,churn risk
79,D-2026Q3-01079,Customer 079 Inc.,contact079@stark.example,EMEA,Product,Worm Core,Élise Dupont,138270.54,125834.02,33,2026-08-18 20:57:00,2026-08-18T20:57:00Z,pilot — eval phase
80,D-2026Q3-01080,Customer 080 Inc.,contact080@globex.example,EMEA,Product,Worm Audit,Renée García,310737.75,283255.82,42,2026-09-04 09:46:00,2026-09-04T09:46:00Z,upsell
81,D-2026Q3-01081,Customer 081 Inc.,contact081@umbrella.example,APAC,Customer Success,Worm Enterprise,Sofía Martínez,90097.32,76458.29,210,2026-07-02 20:51:00,2026-07-02T20:51:00Z,upsell
82,D-2026Q3-01082,Customer 082 Inc.,contact082@acme.example,APAC,Product,Worm Enterprise,Fátima Hassan,74129.35,69435.17,85,2026-08-15 17:47:00,2026-08-15T17:47:00Z,upsell
83,D-2026Q3-01083,Customer 083 Inc.,contact083@umbrella.example,LATAM,Marketing,Worm Audit,Renée García,104629.46,#N/A,37,2026-08-21 11:18:00,2026-08-21T11:18:00Z,—
84,D-2026Q3-01084,Customer 084 Inc.,contact084@initech.example,APAC,Sales,Worm Pro,Renée García,63611.39,51832.69,106,2026-07-02 13:42:00,2026-07-02T13:42:00Z,churn risk
85,D-2026Q3-01085,Customer 085 Inc.,contact085@umbrella.example,LATAM,Customer Success,Worm Audit,André Chen,4816.3,4033.32,35,2026-08-30 18:26:00,2026-08-30T18:26:00Z,churn risk
86,D-2026Q3-01086,Customer 086 Inc.,contact086@globex.example,APAC,Customer Success,Worm Enterprise,François Dubois,3343.36,2907.72,89,2026-09-22 00:55:00,2026-09-22T00:55:00Z,upsell
87,D-2026Q3-01087,Customer 087 Inc.,contact087@acme.example,LATAM,Marketing,Worm Audit,André Chen,131325.72,113229.74,30,2026-09-14 04:39:00,2026-09-14T04:39:00Z,new logo
88,D-2026Q3-01088,Customer 088 Inc.,contact088@globex.example,NA,Sales,Worm Core,Chloé O'Brien,130728.48,114414.63,223,2026-08-16 09:18:00,2026-08-16T09:18:00Z,renewal
89,D-2026Q3-01089,Customer 089 Inc.,contact089@umbrella.example,NA,Marketing,Worm Core,Fátima Hassan,131745.0,111435.81,165,2026-09-16 09:47:00,2026-09-16T09:47:00Z,réquête en cours
90,D-2026Q3-01090,Customer 090 Inc.,contact090@acme.example,APAC,Product,Worm Lite,Renée García,77732.28,61197.03,177,2026-09-12 07:12:00,2026-09-12T07:12:00Z,churn risk
91,D-2026Q3-01091,Customer 091 Inc.,contact091@acme.example,EMEA,Customer Success,Worm Audit,André Chen,239189.78,207629.87,77,2026-08-28 03:09:00,2026-08-28T03:09:00Z,new logo
92,D-2026Q3-01092,Customer 092 Inc.,contact092@acme.example,EMEA,Finance,Worm Pro,Renée García,365483.76,339881.48,231,2026-09-10 04:03:00,2026-09-10T04:03:00Z,pilot — eval phase
93,D-2026Q3-01093,Customer 093 Inc.,contact093@acme.example,EMEA,Marketing,Worm Core,José Álvarez,52714.22,42846.2,-9999,2026-08-27 17:03:00,2026-08-27T17:03:00Z,expansion — multi-year
94,D-2026Q3-01094,Customer 094 Inc.,contact094@acme.example,APAC,Marketing,Worm Pro,André Chen,46068.09,36166.74,220,2026-07-28 15:14:00,2026-07-28T15:14:00Z,churn risk
95,D-2026Q3-01095,Customer 095 Inc.,contact095@stark.example,LATAM,Sales,Worm Audit,Jürgen Müller,129552.38,109163.92,6,2026-08-12 07:32:00,2026-08-12T07:32:00Z,expansion — multi-year
96,D-2026Q3-01096,Customer 096 Inc.,contact096@stark.example,NA,Customer Success,Worm Pro,Chloé O'Brien,195286.27,174738.56,36,2026-09-02 00:18:00,2026-09-02T00:18:00Z,pilot — eval phase
97,D-2026Q3-01097,Customer 097 Inc.,contact097@stark.example,LATAM,Customer Success,Worm Pro,Élise Dupont,304785.97,286818.15,14,2026-09-22 04:16:00,2026-09-22T04:16:00Z,—
98,D-2026Q3-01098,Customer 098 Inc.,contact098@umbrella.example,LATAM,Finance,Worm Audit,José Álvarez,367485.06,304061.16,177,2026-09-20 12:23:00,2026-09-20T12:23:00Z,expansion — multi-year
99,D-2026Q3-01099,Customer 099 Inc.,contact099@umbrella.example,EMEA,Marketing,Worm Audit,André Chen,209235.63,177997.87,75,2026-07-16 23:36:00,2026-07-16T23:36:00Z,new logo
100,D-2026Q3-01100,Customer 100 Inc.,contact100@acme.example,NA,Customer Success,Worm Core,Mario Rossi,155966.26,128001.21,185,2026-09-22 15:10:00,2026-09-22T15:10:00Z,new logo
101,D-2026Q3-01101,Customer 101 Inc.,contact101@globex.example,APAC,Customer Success,Worm Core,Élise Dupont,327636.96,279996.73,164,2026-09-16 02:30:00,2026-09-16T02:30:00Z,—
102,D-2026Q3-01102,Customer 102 Inc.,contact102@acme.example,APAC,Customer Success,Worm Audit,Fátima Hassan,305601.39,271664.1,85,2026-07-30 23:04:00,2026-07-30T23:04:00Z,upsell
103,D-2026Q3-01103,Customer 103 Inc.,contact103@globex.example,LATAM,Marketing,Worm Audit,François Dubois,152235.54,126101.24,194,2026-07-22 18:12:00,2026-07-22T18:12:00Z,renewal
104,D-2026Q3-01104,Customer 104 Inc.,contact104@acme.example,APAC,Product,Worm Enterprise,Renée García,419829.92,395859.28,229,2026-07-12 08:16:00,2026-07-12T08:16:00Z,renewal
105,D-2026Q3-01105,Customer 105 Inc.,contact105@umbrella.example,NA,Product,Worm Audit,Renée García,302460.68,269282.04,98,2026-07-21 05:07:00,2026-07-21T05:07:00Z,new logo
106,D-2026Q3-01106,Customer 106 Inc.,contact106@initech.example,EMEA,Sales,Worm Audit,Mario Rossi,179744.66,146584.65,173,2026-08-17 12:25:00,2026-08-17T12:25:00Z,upsell
107,D-2026Q3-01107,Customer 107 Inc.,contact107@initech.example,APAC,Sales,Worm Pro,François Dubois,156982.79,#REF!,196,2026-07-24 21:19:00,2026-07-24T21:19:00Z,—
108,D-2026Q3-01108,Customer 108 Inc.,contact108@stark.example,NA,Customer Success,Worm Enterprise,Élise Dupont,3626.71,3109.61,66,2026-07-14 14:15:00,2026-07-14T14:15:00Z,—
109,D-2026Q3-01109,Customer 109 Inc.,contact109@acme.example,NA,Marketing,Worm Lite,André Chen,343474.13,320738.83,183,2026-09-18 14:39:00,2026-09-18T14:39:00Z,new logo
110,D-2026Q3-01110,Customer 110 Inc.,contact110@globex.example,LATAM,Customer Success,Worm Enterprise,Jürgen Müller,359125.41,315669.37,56,2026-07-30 01:57:00,2026-07-30T01:57:00Z,—
111,D-2026Q3-01111,Customer 111 Inc.,contact111@umbrella.example,EMEA,Customer Success,Worm Audit,Jürgen Müller,61286.78,54737.84,174,2026-07-10 08:16:00,2026-07-10T08:16:00Z,expansion — multi-year
112,D-2026Q3-01112,Customer 112 Inc.,contact112@acme.example,APAC,Finance,Worm Core,Jürgen Müller,#REF!,#N/A,117,2026-07-25 06:49:00,2026-07-25T06:49:00Z,pilot — eval phase
113,D-2026Q3-01113,Customer 113 Inc.,contact113@initech.example,APAC,Sales,Worm Audit,Renée García,474627.73,396526.67,175,2026-09-24 03:35:00,2026-09-24T03:35:00Z,pilot — eval phase
114,D-2026Q3-01114,Customer 114 Inc.,contact114@umbrella.example,EMEA,Customer Success,Worm Enterprise,Mario Rossi,149650.8,138851.27,14,2026-08-08 07:49:00,2026-08-08T07:49:00Z,—
115,D-2026Q3-01115,Customer 115 Inc.,contact115@initech.example,APAC,Finance,Worm Enterprise,François Dubois,284066.28,258089.71,78,2026-08-10 01:59:00,2026-08-10T01:59:00Z,pilot — eval phase
116,D-2026Q3-01116,Customer 116 Inc.,contact116@umbrella.example,NA,Sales,Worm Enterprise,André Chen,268368.01,236676.12,-9999,2026-08-20 11:58:00,2026-08-20T11:58:00Z,pilot — eval phase
117,D-2026Q3-01117,Customer 117 Inc.,contact117@initech.example,EMEA,Finance,Worm Enterprise,François Dubois,223956.81,183483.51,221,2026-09-21 00:29:00,2026-09-21T00:29:00Z,pilot — eval phase
118,D-2026Q3-01118,Customer 118 Inc.,contact118@initech.example,LATAM,Product,Worm Core,Mario Rossi,356787.19,285824.1,30,2026-07-26 15:11:00,2026-07-26T15:11:00Z,new logo
119,D-2026Q3-01119,Customer 119 Inc.,contact119@acme.example,LATAM,Marketing,Worm Enterprise,André Chen,66417.61,60276.16,163,2026-08-10 15:28:00,2026-08-10T15:28:00Z,new logo
120,D-2026Q3-01120,Customer 120 Inc.,contact120@umbrella.example,NA,Marketing,Worm Pro,André Chen,163356.64,134726.47,205,2026-07-21 17:35:00,2026-07-21T17:35:00Z,churn risk
121,D-2026Q3-01121,Customer 121 Inc.,contact121@globex.example,LATAM,Product,Worm Pro,André Chen,94602.35,78275.27,185,2026-09-21 02:49:00,2026-09-21T02:49:00Z,expansion — multi-year
122,D-2026Q3-01122,Customer 122 Inc.,contact122@globex.example,LATAM,Sales,Worm Enterprise,Renée García,88666.03,78537.43,177,2026-08-24 02:33:00,2026-08-24T02:33:00Z,pilot — eval phase
123,D-2026Q3-01123,Customer 123 Inc.,contact123@initech.example,EMEA,Sales,Worm Audit,François Dubois,52402.46,47639.54,60,2026-07-28 16:30:00,2026-07-28T16:30:00Z,pilot — eval phase
124,D-2026Q3-01124,Customer 124 Inc.,contact124@stark.example,NA,Finance,Worm Core,Jürgen Müller,445976.67,#N/A,59,2026-07-14 07:33:00,2026-07-14T07:33:00Z,expansion — multi-year
125,D-2026Q3-01125,Customer 125 Inc.,contact125@acme.example,EMEA,Product,Worm Enterprise,Élise Dupont,434171.82,355807.39,33,2026-09-10 05:18:00,2026-09-10T05:18:00Z,pilot — eval phase
126,D-2026Q3-01126,Customer 126 Inc.,contact126@globex.example,APAC,Product,Worm Core,José Álvarez,136425.56,127895.72,218,2026-09-26 21:04:00,2026-09-26T21:04:00Z,new logo
127,D-2026Q3-01127,Customer 127 Inc.,contact127@stark.example,LATAM,Product,Worm Lite,Renée García,455439.88,401960.65,120,2026-07-09 09:02:00,2026-07-09T09:02:00Z,réquête en cours
128,D-2026Q3-01128,Customer 128 Inc.,contact128@acme.example,EMEA,Marketing,Worm Pro,Chloé O'Brien,232129.17,207883.49,58,2026-08-22 04:14:00,2026-08-22T04:14:00Z,renewal
129,D-2026Q3-01129,Customer 129 Inc.,contact129@globex.example,LATAM,Customer Success,Worm Core,Fátima Hassan,149002.59,127124.2,95,2026-08-02 07:36:00,2026-08-02T07:36:00Z,churn risk
130,D-2026Q3-01130,Customer 130 Inc.,contact130@stark.example,APAC,Customer Success,Worm Audit,Fátima Hassan,384645.43,302210.84,100,2026-07-10 15:40:00,2026-07-10T15:40:00Z,churn risk
131,D-2026Q3-01131,Customer 131 Inc.,contact131@acme.example,LATAM,Marketing,Worm Pro,Sofía Martínez,182541.52,162544.68,26,2026-08-18 03:24:00,2026-08-18T03:24:00Z,—
132,D-2026Q3-01132,Customer 132 Inc.,contact132@umbrella.example,EMEA,Customer Success,Worm Core,Chloé O'Brien,357050.46,279831.29,4,2026-08-06 17:34:00,2026-08-06T17:34:00Z,renewal
133,D-2026Q3-01133,Customer 133 Inc.,contact133@stark.example,NA,Product,Worm Lite,Fátima Hassan,265429.22,244027.32,64,2026-09-09 16:06:00,2026-09-09T16:06:00Z,pilot — eval phase
134,D-2026Q3-01134,Customer 134 Inc.,contact134@initech.example,LATAM,Product,Worm Core,André Chen,269338.32,238071.58,106,2026-09-22 09:24:00,2026-09-22T09:24:00Z,renewal
